,name,text
0,Tiger Pro 72HC-BDVP. 530-550 Watt. Bifacial Module with Dual Glass (550W),"name:Tiger Pro 72HC-BDVP. 530-550 Watt. Bifacial Module with Dual Glass (550W);Manufacturer(brand):Jinko Solar;cell type:Monocrystalline;number of cells:144.0;wattage:550.0;height:30mm;weight:14.51;application:Commercial;product url:[Tiger Pro 72HC-BDVP. 530-550 Watt. Bifacial Module with Dual Glass (550W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-pro-72hc-bdvp-530-550-watt-bifacial-module-with-dual-glass-550w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/d4914ce8-203e-4b25-89ba-008ed96cce78/Tiger%20Pro%2072HC-BDVP.%20530-550%20Watt.%20Bifacial%20Module%20with%20Dual%20Glass%20%28550W%29_img.jpg]"
1,RSM40-8-390M-415M - 390 - 415 Watt (390W) Steel,"name:RSM40-8-390M-415M - 390 - 415 Watt (390W) Steel;Manufacturer(brand):Risen Energy;cell type:Monocrystalline;number of cells:120.0;wattage:390.0;height:30mm;weight:22.0;application:Residential;product url:[RSM40-8-390M-415M - 390 - 415 Watt (390W) Steel](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-rsm40-8-390m-415m-390-415-watt-390w-steel"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/2587aa24-a974-4c14-8519-d70bca6f8f94/RSM40-8-390M-415M%20-%20390%20-%20415%20Watt%20%28390W%29%20Steel_img.jpeg]"
2,Mono 470W MBB Half-Cell Module - 445 - 470 Watt (470W),"name:Mono 470W MBB Half-Cell Module - 445 - 470 Watt (470W);Manufacturer(brand):JA Solar;cell type:Monocrystalline;number of cells:144.0;wattage:470.0;height:35mm;weight:24.5;application:Commercial;product url:[Mono 470W MBB Half-Cell Module - 445 - 470 Watt (470W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-mono-470w-mbb-half-cell-module-445-470-watt-470w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/efcf0db1-319c-4e1b-b7f3-774b5e815945/Mono%20470W%20MBB%20Half-Cell%20Module%20-%20445%20-%20470%20Watt%20%28470W%29_img.jpg]"
3,BiHiKu. 435 - 460 Watt. High Power Bifacial Monocrystalline PERC.  (440W),"name:BiHiKu. 435 - 460 Watt. High Power Bifacial Monocrystalline PERC.  (440W);Manufacturer(brand):Canadian Solar;cell type:Monocrystalline;number of cells:144.0;wattage:440.0;height:30mm;weight:10.43;application:Commercial;product url:[BiHiKu. 435 - 460 Watt. High Power Bifacial Monocrystalline PERC.  (440W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-bihiku-435-460-watt-high-power-bifacial-monocrystalline-perc-440w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/a0016570-42b4-41c2-b204-372cdf130975/BiHiKu.%20435%20-%20460%20Watt.%20High%20Power%20Bifacial%20Monocrystalline%20PERC.%20%20%28440W%29_img.jpeg]"
4,LG NeON R 60 cell Monocrystalline 365W - 385 Watt (385W),"name:LG NeON R 60 cell Monocrystalline 365W - 385 Watt (385W);Manufacturer(brand):LG Solar;cell type:Monocrystalline;number of cells:60.0;wattage:385.0;height:40mm;weight:17.5;application:Residential;product url:[LG NeON R 60 cell Monocrystalline 365W - 385 Watt (385W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-lg-neon-r-60-cell-monocrystalline-365w-385-watt-385w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/154af84a-572a-4f73-8f8e-52c5666ab239/LG%20NeON%20R%2060%20cell%20Monocrystalline%20365W%20-%20385%20Watt%20%28385W%29_img.jpeg]"
5,Monocrystalline PV Module - Astro 5s - 390 - 405 Watt (395W),"name:Monocrystalline PV Module - Astro 5s - 390 - 405 Watt (395W);Manufacturer(brand):Astronergy;cell type:Monocrystalline;number of cells:nan;wattage:395.0;height:30mm;weight:21.5;application:Residential;product url:[Monocrystalline PV Module - Astro 5s - 390 - 405 Watt (395W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-astro-5s-390-405-watt-395w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/619d2840-80d2-47bc-ac19-578770e3daf5/Monocrystalline%20PV%20Module%20-%20Astro%205s%20-%20390%20-%20405%20Watt%20%28395W%29_img.jpg]"
6,Tiger N Type 66TR. 390-410 Watt. Mono-Facial Module.  (400W),"name:Tiger N Type 66TR. 390-410 Watt. Mono-Facial Module.  (400W);Manufacturer(brand):Jinko Solar;cell type:Monocrystalline;number of cells:132.0;wattage:400.0;height:30mm;weight:9.43;application:Residential;product url:[Tiger N Type 66TR. 390-410 Watt. Mono-Facial Module.  (400W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-n-type-66tr-390-410-watt-mono-facial-module-400w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/c29ab3fd-e7f4-400d-b451-59aaca2a392d/Tiger%20N%20Type%2066TR.%20390-410%20Watt.%20Mono-Facial%20Module.%20%20%28400W%29_img.jpg]"
7,Tiger 78TR. 470-490 Watt. Mono-Facial Module.  (490W),"name:Tiger 78TR. 470-490 Watt. Mono-Facial Module.  (490W);Manufacturer(brand):Jinko Solar;cell type:Monocrystalline;number of cells:156.0;wattage:490.0;height:35mm;weight:11.34;application:Commercial;product url:[Tiger 78TR. 470-490 Watt. Mono-Facial Module.  (490W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-78tr-470-490-watt-mono-facial-module-490w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/cb4cc6c7-a022-4263-84b8-3371335875a8/Tiger%2078TR.%20470-490%20Watt.%20Mono-Facial%20Module.%20%20%28490W%29_img.jpg]"
8,Tiger Neo N-type 54HL4 - (V). 410-430 Watt. Mono-Facial Module. N-Type. (420W),"name:Tiger Neo N-type 54HL4 - (V). 410-430 Watt. Mono-Facial Module. N-Type. (420W);Manufacturer(brand):Jinko Solar;cell type:N-type Monocrystalline;number of cells:108.0;wattage:420.0;height:30mm;weight:9.98;application:Commercial;product url:[Tiger Neo N-type 54HL4 - (V). 410-430 Watt. Mono-Facial Module. N-Type. (420W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-neo-n-type-54hl4-v-410-430-watt-mono-facial-module-n-type-420w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/13ceb7bd-2ee7-45e5-b013-bc4e17fcad39/Tiger%20Neo%20N-type%2054HL4%20-%20%28V%29.%20410-430%20Watt.%20Mono-Facial%20Module.%20N-Type.%20%28420W%29_img.jpg]"
9,DEEP BLUE 3.0 - JAM72S30 - 530 - 555 Watt (555W),"name:DEEP BLUE 3.0 - JAM72S30 - 530 - 555 Watt (555W);Manufacturer(brand):JA Solar;cell type:Monocrystalline;number of cells:144.0;wattage:555.0;height:35mm;weight:28.1;application:Commercial;product url:[DEEP BLUE 3.0 - JAM72S30 - 530 - 555 Watt (555W)](""https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-deep-blue-3-0-jam72s30-530-555-watt-555w-"");image url:[https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/f817f85f-c813-4d43-a115-3afdd5618bc9/DEEP%20BLUE%203.0%20-%20JAM72S30%20-%20530%20-%20555%20Watt%20%28555W%29_img.jpg]"
